C/1992 W1	Ohshita	0.99721	80.2191	719	115.1232	0.664134		1992/11/01	2711
C/1992 Q2	Helin–Lawrence	0.965365	58.8554	452	106.8481	2.038458		1993/03/15	2445
C/1994 E1	Mueller	0.968171	55.0218	408	145.1425	1.75129		1993/11/28	2401
C/1995 Q2	Hartley-Drinkwater	0.966518	56.4229	424	168.0075	1.889153		1995/08/02	2419
C/1997 O1	Tilbrook	0.98422	86.96	811	115.8024	1.371807	8	1997/07/13	2808
C/1998 K5	LINEAR	0.98669	72.39	616	9.92714	0.9635469	16.1	1998/07/17	2613
C/1998 K1	Mueller	0.94511	62.2	491	35.6361	3.41659	8	1998/09/01	2489
C/1999 L3	LINEAR	0.97437	77.59	683.5	166.09928	1.988917	8.8	2000/01/04	2683/06/01
C/2000 J1	Ferris	0.951	51	370	98.78	2.5417	14.2	2000/05/11	2370
C/2001 S1	Skiff	0.9295	53.2	388	139.1322	3.749	5.9	2001/06/02	2389
C/2002 Q2	LINEAR	0.977	56	420	96.76	1.3029	16.4	2002/08/17	~2450
C/2003 K1	Spacewatch	0.947	40	250	129.81	2.086	14.4	2002/12/20	2250
C/2003 H2	LINEAR	0.94293	38.18	235.9	72.218	2.17853	14.2	2003/05/17	2239/05/01
C/2004 HV60	Spacewatch	0.938	49.46	347.80	92.53	3.07	13	2003/12/16	2351
C/2003 S4-B	LINEAR	0.904	40	253	40.43	3.84	12.4	2004/05/23	2250
C/2004 DZ61	Catalina (CSS)–LINEAR	0.956027	45.786	309.81	66.80929	2.01333	12.4	2004/05/26	2314/04/01
C/2003 S4-A	LINEAR	0.895	36.9	224	40.71	3.874	12.3	2004/05/30	2230
C/2004 K3	LINEAR	0.9809	57.7	438	111.9279	1.10334	16.9	2004/06/30	2440
C/2005 H1	LINEAR	0.89687	46.24	314.4	81.5121	4.7686	9.8	2004/10/28	2319/04/01
C/2005 O1	NEAT	0.9297	51.1	365	155.981	3.5909	6.3	2005/05/17	2370
C/2005 N4	Catalina (CSS)	0.9604	58.2	444	116.6298	2.30373	14.2	2005/07/02	2450
C/2005 P3	SWAN	0.98768	42.7	279	89.708	0.52578	14.2	2005/08/09	2285
C/2007 D2	Spacewatch	0.97771	56	420	178.618	1.2457	15.4	2006/11/24	2425
C/2007 H2	Skiff	0.9717	49.822	351.67	52.191	1.4105	15.9	2007/02/17	2358
C/2007 K5	Lovejoy	0.9766	49	340	64.884	1.1491	12	2007/05/01	2350
C/2007 E1	Garradd	0.980218	65.001	524.06	174.394	1.2858628	13.7	2007/05/23	2531/06/01
C/2006 S5	Hill	0.973002	97.430	961.7	10.13138	2.630434	9.6	2007/12/09	2969/08/28
C/2008 H1	LINEAR	0.9465	51.6	371	75.492	2.76026	10.4	2008/03/16	2380
C/2008 J5	Garradd	0.97288	72.4	616	93.271	1.96384	10.6	2008/04/01	2625
C/2007 T5	Gibbs	0.91362	46.88	320.98	45.61521	4.049254	10	2008/05/24	2328/05/01
C/2008 X3	LINEAR	0.95654	43.77	289.6	66.4751	1.90213	11.8	2008/10/10	2298
C/2009 F5	McNaught	0.972	80.2	718	84.9905	2.24534	10.2	2008/11/04	2726
C/2009 B2	LINEAR	0.9443	41.8	270	156.873	2.32762	13	2009/03/07	2279
C/2010 D4	WISE	0.88947	64.67	520.1	105.65965	7.14822	8.4	2009/03/30	2519/05/01
C/2009 E1	Itagaki	0.985073	40.177	254.67	127.4534	0.5997215	13.5	2009/04/07	2263/12/01
C/2009 K4	Gibbs	0.9628	41.6	268	34.8248	1.5489	13.8	2009/06/19	2280
C/2010 F1	Boattini	0.9476	68.4	566	64.936	3.58752	6.3	2009/11/10	2575
C/2010 J1	Boattini	0.9538	36.72	222.5	134.3849	1.69566	11.4	2010/02/04	2232
C/2010 L4	WISE	0.9647	80.1	717	102.818	2.8255	12.8	2010/02/23	2726
C/2010 DG56	WISE	0.97644	67.54	555	160.41734	1.591452	14.3	2010/05/15	2565
C/2010 F3	Scotti	0.91327	62.8	497.7	4.64758	5.44669	9.8	2010/08/04	2508
C/2010 KW7	WISE	0.97425	99.84	997.7	147.06087	2.570441	12.3	2010/10/11	3008
C/2010 G2	Hill	0.9794077	96.19	943.41	103.745293	1.9807735	9	2011/09/02	2955/02/01
C/2011 Q4	SWAN	0.974157	43.039	282.35	147.84307	1.112228	11.8	2011/09/21	2294/01/27
C/2011 W3	Lovejoy	0.9999294	78.7	698	134.356	0.0055538	15.3	2011/12/16	2710
C/2012 F1	Gibbs	0.965	74	630	129.3968	2.5509	13.8	2012/02/19	2645
C/2012 Y1	LINEAR	0.94687	37.95	233.8	20.9594	2.0162	15.1	2013/01/18	2246
C/2013 J6	Catalina (CSS)	0.9596	59.9	463	85.055	2.41572	12.7	2013/04/09	2475
C/2013 K1	Christensen	0.98811	79.8	713	42.3415	0.948263	18.4	2013/05/30	2725
C/2013 N4	Borisov	0.974805	48.04	333	37.03523	1.210405	10.6	2013/08/21	2346
