From: horizons@ssd.jpl.nasa.gov (Horizons Ephemeris System)
Subject: [Horizons] MAJOR BODY #C(500@10)_T(599) (1/1)
Date: February 4, 2021 at 12:05:44 PM PST

Automated mail xmit by PORT_LOGIN, PID= 21456 Thu Feb  4 12:05:44 2021
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++
*******************************************************************************
Ephemeris / PORT_LOGIN Thu Feb  4 12:05:15 2021 Pasadena, USA    / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup357_merged}
Center body name: Sun (10)                        {source: jup357_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2042-Jan-01 00:00:00.0000 TDB
Step-size       : 20160 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
           JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2462502.500000000, A.D. 2030-Jan-01 00:00:00.0000, -4.017945707821938E+00, -3.638840194589929E+00,  1.050213414732315E-01,
2462516.500000000, A.D. 2030-Jan-15 00:00:00.0000, -3.947503558191050E+00, -3.711630124083948E+00,  1.037478442073365E-01,
2462530.500000000, A.D. 2030-Jan-29 00:00:00.0000, -3.875621884337129E+00, -3.783067280569153E+00,  1.024364743349426E-01,
2462544.500000000, A.D. 2030-Feb-12 00:00:00.0000, -3.802325036144196E+00, -3.853122942627733E+00,  1.010876766627097E-01,
2462558.500000000, A.D. 2030-Feb-26 00:00:00.0000, -3.727637326995270E+00, -3.921768863424075E+00,  9.970191403155755E-02,
2462572.500000000, A.D. 2030-Mar-12 00:00:00.0000, -3.651583403326882E+00, -3.988977751907238E+00,  9.827964927053399E-02,
2462586.500000000, A.D. 2030-Mar-26 00:00:00.0000, -3.574188864395317E+00, -4.054723269730284E+00,  9.682133599657722E-02,
2462600.500000000, A.D. 2030-Apr-09 00:00:00.0000, -3.495480428751965E+00, -4.118979454195058E+00,  9.532742575517124E-02,
2462614.500000000, A.D. 2030-Apr-23 00:00:00.0000, -3.415485601756846E+00, -4.181720087708734E+00,  9.379840565923073E-02,
2462628.500000000, A.D. 2030-May-07 00:00:00.0000, -3.334232179909823E+00, -4.242918884755595E+00,  9.223480524846599E-02,
2462642.500000000, A.D. 2030-May-21 00:00:00.0000, -3.251747884067982E+00, -4.302550053946634E+00,  9.063717276440780E-02,
2462656.500000000, A.D. 2030-Jun-04 00:00:00.0000, -3.168060586411135E+00, -4.360588799348625E+00,  8.900605549905950E-02,
2462670.500000000, A.D. 2030-Jun-18 00:00:00.0000, -3.083198911717254E+00, -4.417011401809281E+00,  8.734198851902344E-02,
2462684.500000000, A.D. 2030-Jul-02 00:00:00.0000, -2.997192536558652E+00, -4.471794716248218E+00,  8.564549783744789E-02,
2462698.500000000, A.D. 2030-Jul-16 00:00:00.0000, -2.910071886112585E+00, -4.524915442767203E+00,  8.391713213388415E-02,
2462712.500000000, A.D. 2030-Jul-30 00:00:00.0000, -2.821867684813333E+00, -4.576350101008398E+00,  8.215748514397439E-02,
2462726.500000000, A.D. 2030-Aug-13 00:00:00.0000, -2.732610533976044E+00, -4.626075578074163E+00,  8.036717417091263E-02,
2462740.500000000, A.D. 2030-Aug-27 00:00:00.0000, -2.642331036637178E+00, -4.674069672893828E+00,  7.854682007747016E-02,
2462754.500000000, A.D. 2030-Sep-10 00:00:00.0000, -2.551060398818386E+00, -4.720311305378547E+00,  7.669703478477952E-02,
2462768.500000000, A.D. 2030-Sep-24 00:00:00.0000, -2.458830895980983E+00, -4.764780147302107E+00,  7.481842238729204E-02,
2462782.500000000, A.D. 2030-Oct-08 00:00:00.0000, -2.365675675217490E+00, -4.807455911335120E+00,  7.291160217843713E-02,
2462796.500000000, A.D. 2030-Oct-22 00:00:00.0000, -2.271628335068900E+00, -4.848318126684872E+00,  7.097724182065082E-02,
2462810.500000000, A.D. 2030-Nov-05 00:00:00.0000, -2.176722471604327E+00, -4.887346661416093E+00,  6.901604098993724E-02,
2462824.500000000, A.D. 2030-Nov-19 00:00:00.0000, -2.080991647758213E+00, -4.924522306476843E+00,  6.702870799975427E-02,
2462838.500000000, A.D. 2030-Dec-03 00:00:00.0000, -1.984469897836868E+00, -4.959827085377517E+00,  6.501594395380998E-02,
2462852.500000000, A.D. 2030-Dec-17 00:00:00.0000, -1.887192251686324E+00, -4.993243994628819E+00,  6.297844021703572E-02,
2462866.500000000, A.D. 2030-Dec-31 00:00:00.0000, -1.789194621551221E+00, -5.024756325977633E+00,  6.091689229477412E-02,
2462880.500000000, A.D. 2031-Jan-14 00:00:00.0000, -1.690513344643204E+00, -5.054347235249105E+00,  5.883203585989168E-02,
2462894.500000000, A.D. 2031-Jan-28 00:00:00.0000, -1.591184721246548E+00, -5.082000153163299E+00,  5.672464091121872E-02,
2462908.500000000, A.D. 2031-Feb-11 00:00:00.0000, -1.491244854316402E+00, -5.107699385886513E+00,  5.459548568449198E-02,
2462922.500000000, A.D. 2031-Feb-25 00:00:00.0000, -1.390730082645459E+00, -5.131430498181954E+00,  5.244533913595026E-02,
2462936.500000000, A.D. 2031-Mar-11 00:00:00.0000, -1.289677591814006E+00, -5.153180158290429E+00,  5.027495696302152E-02,
2462950.500000000, A.D. 2031-Mar-25 00:00:00.0000, -1.188125486644370E+00, -5.172935512089299E+00,  4.808509198277793E-02,
2462964.500000000, A.D. 2031-Apr-08 00:00:00.0000, -1.086112355559367E+00, -5.190683608290599E+00,  4.587652881178126E-02,
2462978.500000000, A.D. 2031-Apr-22 00:00:00.0000, -9.836768508304232E-01, -5.206411646875766E+00,  4.365009427233133E-02,
2462992.500000000, A.D. 2031-May-06 00:00:00.0000, -8.808574370275173E-01, -5.220107608481465E+00,  4.140663166841662E-02,
2463006.500000000, A.D. 2031-May-20 00:00:00.0000, -7.776927138016754E-01, -5.231760727743120E+00,  3.914698190710861E-02,
2463020.500000000, A.D. 2031-Jun-03 00:00:00.0000, -6.742220383182346E-01, -5.241361488206508E+00,  3.687197665142983E-02,
2463034.500000000, A.D. 2031-Jun-17 00:00:00.0000, -5.704857383042841E-01, -5.248901101431848E+00,  3.458244509644330E-02,
2463048.500000000, A.D. 2031-Jul-01 00:00:00.0000, -4.665246708875362E-01, -5.254370894002020E+00,  3.227923982821566E-02,
2463062.500000000, A.D. 2031-Jul-15 00:00:00.0000, -3.623797673272240E-01, -5.257762374271599E+00,  2.996325843611157E-02,
2463076.500000000, A.D. 2031-Jul-29 00:00:00.0000, -2.580916887912342E-01, -5.259067873101700E+00,  2.763541793276518E-02,
2463090.500000000, A.D. 2031-Aug-12 00:00:00.0000, -1.537010017101412E-01, -5.258281069758317E+00,  2.529663115919752E-02,
2463104.500000000, A.D. 2031-Aug-26 00:00:00.0000, -4.924877345955323E-02, -5.255397083621776E+00,  2.294779572657823E-02,
2463118.500000000, A.D. 2031-Sep-09 00:00:00.0000,  5.522307080351641E-02, -5.250412001790195E+00,  2.058979863180687E-02,
2463132.500000000, A.D. 2031-Sep-23 00:00:00.0000,  1.596721057497687E-01, -5.243322207330768E+00,  1.822353529039312E-02,
2463146.500000000, A.D. 2031-Oct-07 00:00:00.0000,  2.640558905707716E-01, -5.234124192517103E+00,  1.584994064522467E-02,
2463160.500000000, A.D. 2031-Oct-21 00:00:00.0000,  3.683323312420801E-01, -5.222815123677210E+00,  1.346997305638255E-02,
2463174.500000000, A.D. 2031-Nov-04 00:00:00.0000,  4.724596248191947E-01, -5.209393403032813E+00,  1.108458896810575E-02,
2463188.500000000, A.D. 2031-Nov-18 00:00:00.0000,  5.763956937960700E-01, -5.193858865314891E+00,  8.694730576778407E-03,
2463202.500000000, A.D. 2031-Dec-02 00:00:00.0000,  6.800976941262706E-01, -5.176212409212527E+00,  6.301329758901538E-03,
2463216.500000000, A.D. 2031-Dec-16 00:00:00.0000,  7.835222184659619E-01, -5.156455363348141E+00,  3.905322805247025E-03,
2463230.500000000, A.D. 2031-Dec-30 00:00:00.0000,  8.866258088979745E-01, -5.134589155257141E+00,  1.507682839494855E-03,
2463244.500000000, A.D. 2032-Jan-13 00:00:00.0000,  9.893653111924210E-01, -5.110615804573167E+00, -8.905840225866886E-04,
2463258.500000000, A.D. 2032-Jan-27 00:00:00.0000,  1.091697937646518E+00, -5.084538572908466E+00, -3.288468179973815E-03,
2463272.500000000, A.D. 2032-Feb-10 00:00:00.0000,  1.193580783703021E+00, -5.056362285445969E+00, -5.684973582418901E-03,
2463286.500000000, A.D. 2032-Feb-24 00:00:00.0000,  1.294970275590496E+00, -5.026093076537608E+00, -8.079118168353239E-03,
2463300.500000000, A.D. 2032-Mar-09 00:00:00.0000,  1.395822241110069E+00, -4.993737774292009E+00, -1.046992298158140E-02,
2463314.500000000, A.D. 2032-Mar-23 00:00:00.0000,  1.496092491154339E+00, -4.959303431053351E+00, -1.285638536862935E-02,
2463328.500000000, A.D. 2032-Apr-06 00:00:00.0000,  1.595737225839970E+00, -4.922797622498804E+00, -1.523746908207205E-02,
2463342.500000000, A.D. 2032-Apr-20 00:00:00.0000,  1.694713222449609E+00, -4.884229111454059E+00, -1.761213445108082E-02,
2463356.500000000, A.D. 2032-May-04 00:00:00.0000,  1.792977475739722E+00, -4.843608238787280E+00, -1.997935882370495E-02,
2463370.500000000, A.D. 2032-May-18 00:00:00.0000,  1.890486607097686E+00, -4.800946770596237E+00, -2.233813995813856E-02,
2463384.500000000, A.D. 2032-Jun-01 00:00:00.0000,  1.987196755116059E+00, -4.756257306102258E+00, -2.468748538856992E-02,
2463398.500000000, A.D. 2032-Jun-15 00:00:00.0000,  2.083064116371810E+00, -4.709552734200382E+00, -2.702639110695569E-02,
2463412.500000000, A.D. 2032-Jun-29 00:00:00.0000,  2.178045368007266E+00, -4.660846329427334E+00, -2.935381912509202E-02,
2463426.500000000, A.D. 2032-Jul-13 00:00:00.0000,  2.272097873088498E+00, -4.610152426741967E+00, -3.166872223823303E-02,
2463440.500000000, A.D. 2032-Jul-27 00:00:00.0000,  2.365179406726108E+00, -4.557486902441314E+00, -3.397006749083482E-02,
2463454.500000000, A.D. 2032-Aug-10 00:00:00.0000,  2.457247535536925E+00, -4.502867153164825E+00, -3.625684245300722E-02,
2463468.500000000, A.D. 2032-Aug-24 00:00:00.0000,  2.548259344866943E+00, -4.446311567760894E+00, -3.852804532916560E-02,
2463482.500000000, A.D. 2032-Sep-07 00:00:00.0000,  2.638171908904329E+00, -4.387838963183203E+00, -4.078266913358396E-02,
2463496.500000000, A.D. 2032-Sep-21 00:00:00.0000,  2.726942821390069E+00, -4.327468497361125E+00, -4.301967513533195E-02,
2463510.500000000, A.D. 2032-Oct-05 00:00:00.0000,  2.814530467645526E+00, -4.265220304337046E+00, -4.523800940298561E-02,
2463524.500000000, A.D. 2032-Oct-19 00:00:00.0000,  2.900893913717397E+00, -4.201116061094749E+00, -4.743663264257854E-02,
2463538.500000000, A.D. 2032-Nov-02 00:00:00.0000,  2.985992346595871E+00, -4.135179079521521E+00, -4.961453214893369E-02,
2463552.500000000, A.D. 2032-Nov-16 00:00:00.0000,  3.069784693921014E+00, -4.067433833544238E+00, -5.177071518182157E-02,
2463566.500000000, A.D. 2032-Nov-30 00:00:00.0000,  3.152229966333283E+00, -3.997905353859061E+00, -5.390419631289822E-02,
2463580.500000000, A.D. 2032-Dec-14 00:00:00.0000,  3.233287860520736E+00, -3.926618957930418E+00, -5.601397229909647E-02,
2463594.500000000, A.D. 2032-Dec-28 00:00:00.0000,  3.312919037321652E+00, -3.853600734450807E+00, -5.809902428017698E-02,
2463608.500000000, A.D. 2033-Jan-11 00:00:00.0000,  3.391085095580026E+00, -3.778878156162341E+00, -6.015834932072038E-02,
2463622.500000000, A.D. 2033-Jan-25 00:00:00.0000,  3.467748044590911E+00, -3.702480261736402E+00, -6.219097490149660E-02,
2463636.500000000, A.D. 2033-Feb-08 00:00:00.0000,  3.542869799445014E+00, -3.624437256720262E+00, -6.419595321313175E-02,
2463650.500000000, A.D. 2033-Feb-22 00:00:00.0000,  3.616412341132047E+00, -3.544779892929139E+00, -6.617234673135754E-02,
2463664.500000000, A.D. 2033-Mar-08 00:00:00.0000,  3.688338353985840E+00, -3.463539110634144E+00, -6.811920689264236E-02,
2463678.500000000, A.D. 2033-Mar-22 00:00:00.0000,  3.758611548805892E+00, -3.380746382813366E+00, -7.003556247584171E-02,
2463692.500000000, A.D. 2033-Apr-05 00:00:00.0000,  3.827196716696049E+00, -3.296434422091135E+00, -7.192045073071636E-02,
2463706.500000000, A.D. 2033-Apr-19 00:00:00.0000,  3.894059300864546E+00, -3.210637515799474E+00, -7.377293802757910E-02,
2463720.500000000, A.D. 2033-May-03 00:00:00.0000,  3.959164840684722E+00, -3.123391270945739E+00, -7.559211982178456E-02,
2463734.500000000, A.D. 2033-May-17 00:00:00.0000,  4.022478979673964E+00, -3.034732009507348E+00, -7.737710794692140E-02,
2463748.500000000, A.D. 2033-May-31 00:00:00.0000,  4.083968109905961E+00, -2.944696341536631E+00, -7.912701640917624E-02,
2463762.500000000, A.D. 2033-Jun-14 00:00:00.0000,  4.143599806276968E+00, -2.853321301709927E+00, -8.084094275913278E-02,
2463776.500000000, A.D. 2033-Jun-28 00:00:00.0000,  4.201342941221609E+00, -2.760645029675481E+00, -8.251799385423644E-02,
2463790.500000000, A.D. 2033-Jul-12 00:00:00.0000,  4.257167375512283E+00, -2.666707168205854E+00, -8.415731190045496E-02,
2463804.500000000, A.D. 2033-Jul-26 00:00:00.0000,  4.311043380647889E+00, -2.571548680674394E+00, -8.575807795560980E-02,
2463818.500000000, A.D. 2033-Aug-09 00:00:00.0000,  4.362941489511118E+00, -2.475211224013410E+00, -8.731949834068001E-02,
2463832.500000000, A.D. 2033-Aug-23 00:00:00.0000,  4.412833056512163E+00, -2.377736639032499E+00, -8.884079159546132E-02,
